Codigo;Endereço_completo;Origem_nome;Latitude_origem;Longitude_origem
JBT01;R. Riachão, 807 - Muribeca, Jaboatão dos Guararapes - PE, 54355-057;CD JBT;-8.1653768;-34.9473033
SPO01;Av. Beta, 451 - Distrito Industrial, Jundiaí - SP, 13213-070;CD SPO;-23.1528883;-46.9502239
SCT01;R. Domingos Rampelotti, 3501 - São Roque, Itajaí - SC, 88317-600;CD SCT;-26.9096076;-48.7484758
BEL01;BR-316, KM 25 - TREVO DE MOSQUEIRO, Benevides - PA, 68795-000;CD BEL;-1.3376651;-48.2443121
TUB01;R. José Alves dos Santos Passos, 3064 - São Martinho, Tubarão - SC, 88708-701;CD TUB;-28.4509589;-49.0253159
